Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_1001,2015,Manhattan,156.666666666667,
PR1314_1002,2015,Manhattan,183.333333333333,
PR1314_1007,2015,Manhattan,88.6666666666667,
PR1314_1010,2015,Manhattan,144.666666666667,
PR1314_1013,2015,Manhattan,156,
PR1314_1015,2015,Manhattan,118.666666666667,
PR1314_1036,2015,Manhattan,155.333333333333,
PR1314_1037,2015,Manhattan,130.666666666667,
PR1314_1038,2015,Manhattan,98,
PR1314_1071,2015,Manhattan,171.333333333333,
PR1314_1087,2015,Manhattan,130.666666666667,
PR1314_1100,2015,Manhattan,223.333333333333,
PR1314_1105,2015,Manhattan,178,
PR1314_1106,2015,Manhattan,160,
PR1314_1122,2015,Manhattan,112,
PR1314_1125,2015,Manhattan,212,
PR1314_1131,2015,Manhattan,126.666666666667,
PR1314_1135,2015,Manhattan,159.333333333333,
PR1314_1144,2015,Manhattan,119.333333333333,
PR1314_1157,2015,Manhattan,132.666666666667,
PR1314_1169,2015,Manhattan,145.333333333333,
PR1314_1173,2015,Manhattan,191.333333333333,
PR1314_1182,2015,Manhattan,160.666666666667,
PR1314_1183,2015,Manhattan,163.333333333333,
PR1314_1203,2015,Manhattan,206,
PR1314_1215,2015,Manhattan,128,
PR1314_1237,2015,Manhattan,178.666666666667,
PR1314_1246,2015,Manhattan,149.333333333333,
PR1314_1276,2015,Manhattan,114.666666666667,
PR1314_1277,2015,Manhattan,189.333333333333,
PR1314_1296,2015,Manhattan,156.666666666667,
PR1314_1306,2015,Manhattan,164.666666666667,
PR1314_1310,2015,Manhattan,120,
PR1314_1312,2015,Manhattan,119.333333333333,
PR1314_1313,2015,Manhattan,106.666666666667,
PR1314_1314,2015,Manhattan,105.333333333333,
PR1314_1323,2015,Manhattan,178.666666666667,
PR1314_1337,2015,Manhattan,130.666666666667,
PR1314_1339,2015,Manhattan,189.333333333333,
PR1314_1342,2015,Manhattan,163.333333333333,
PR1314_1348,2015,Manhattan,155.333333333333,
PR1314_1354,2015,Manhattan,150.666666666667,
PR1314_1355,2015,Manhattan,156,
PR1314_1366,2015,Manhattan,122.666666666667,
PR1314_1374,2015,Manhattan,122,
PR1314_1379,2015,Manhattan,130.666666666667,
PR1314_1389,2015,Manhattan,140.666666666667,
PR1314_1398,2015,Manhattan,194,
PR1314_1419,2015,Manhattan,167.333333333333,
PR1314_1441,2015,Manhattan,148.666666666667,
PR1314_1442,2015,Manhattan,143.333333333333,
PR1314_1444,2015,Manhattan,125.333333333333,
PR1314_1445,2015,Manhattan,142,
PR1314_1485,2015,Manhattan,188,
PR1314_1503,2015,Manhattan,81.3333333333333,
PR1314_1505,2015,Manhattan,152.666666666667,
PR1314_1508,2015,Manhattan,128,
PR1314_1518,2015,Manhattan,130.666666666667,
PR1314_1519,2015,Manhattan,173.333333333333,
PR1314_1520,2015,Manhattan,159.333333333333,
PR1314_1522,2015,Manhattan,142,
PR1314_1526,2015,Manhattan,153.333333333333,
PR1314_1529,2015,Manhattan,155.333333333333,
PR1314_1536,2015,Manhattan,102,
PR1314_1537,2015,Manhattan,149.333333333333,
PR1314_1538,2015,Manhattan,122.666666666667,
PR1314_1547,2015,Manhattan,114,
