Plot_ID,Pedigree,LIB
PR1314_1001,Tx430/P898012,PR1314_1001:MERGE
PR1314_1002,Tx430/P898012,PR1314_1002:2858
PR1314_1003,Tx430/P898012,PR1314_1003:MERGE
PR1314_1004,Tx430/P898012,PR1314_1004:388
PR1314_1005,Tx430/P898012,PR1314_1005:389
PR1314_1006,Tx430/P898012,PR1314_1006:MERGE
PR1314_1007,Tx430/P898012,PR1314_1007:MERGE
PR1314_1008,Tx430/P898012,PR1314_1008:392
PR1314_1009,Tx430/P898012,PR1314_1009:393
PR1314_1010,Tx430/P898012,PR1314_1010:394
PR1314_1011,Tx430/P898012,PR1314_1011:395
PR1314_1013,Tx430/P898012,PR1314_1013:MERGE
PR1314_1014,Tx430/P898012,PR1314_1014:MERGE
PR1314_1015,Tx430/P898012,PR1314_1015:MERGE
PR1314_1016,Tx430/P898012,PR1314_1016:MERGE
PR1314_1017,Tx430/P898012,PR1314_1017:400
PR1314_1018,Tx430/P898012,PR1314_1018:401
PR1314_1019,Tx430/P898012,PR1314_1019:MERGE
PR1314_1020,Tx430/P898012,PR1314_1020:403
PR1314_1021,Tx430/P898012,PR1314_1021:404
PR1314_1022,Tx430/P898012,PR1314_1022:405
PR1314_1023,Tx430/P898012,PR1314_1023:406
PR1314_1024,Tx430/P898012,PR1314_1024:407
PR1314_1025,Tx430/P898012,PR1314_1025:408
PR1314_1026,Tx430/P898012,PR1314_1026:409
PR1314_1027,Tx430/P898012,PR1314_1027:MERGE
PR1314_1028,Tx430/P898012,PR1314_1028:411
PR1314_1029,Tx430/P898012,PR1314_1029:412
PR1314_1030,Tx430/P898012,PR1314_1030:MERGE
PR1314_1031,Tx430/P898012,PR1314_1031:MERGE
PR1314_1033,Tx430/P898012,PR1314_1033:415
PR1314_1034,Tx430/P898012,PR1314_1034:416
PR1314_1036,Tx430/P898012,PR1314_1036:418
PR1314_1037,Tx430/P898012,PR1314_1037:MERGE
PR1314_1038,Tx430/P898012,PR1314_1038:420
PR1314_1039,Tx430/P898012,PR1314_1039:421
PR1314_1040,Tx430/P898012,PR1314_1040:422
PR1314_1041,Tx430/P898012,PR1314_1041:423
PR1314_1042,Tx430/P898012,PR1314_1042:424
PR1314_1043,Tx430/P898012,PR1314_1043:425
PR1314_1044,Tx430/P898012,PR1314_1044:426
PR1314_1045,Tx430/P898012,PR1314_1045:2863
PR1314_1046,Tx430/P898012,PR1314_1046:428
PR1314_1047,Tx430/P898012,PR1314_1047:429
PR1314_1048,Tx430/P898012,PR1314_1048:430
PR1314_1050,Tx430/P898012,PR1314_1050:432
PR1314_1051,Tx430/P898012,PR1314_1051:433
PR1314_1054,Tx430/P898012,PR1314_1054:436
PR1314_1055,Tx430/P898012,PR1314_1055:MERGE
PR1314_1057,Tx430/P898012,PR1314_1057:438
PR1314_1058,Tx430/P898012,PR1314_1058:439
PR1314_1059,Tx430/P898012,PR1314_1059:440
PR1314_1060,Tx430/P898012,PR1314_1060:2864
PR1314_1061,Tx430/P898012,PR1314_1061:MERGE
PR1314_1062,Tx430/P898012,PR1314_1062:MERGE
PR1314_1063,Tx430/P898012,PR1314_1063:444
PR1314_1064,Tx430/P898012,PR1314_1064:445
PR1314_1065,Tx430/P898012,PR1314_1065:MERGE
PR1314_1066,Tx430/P898012,PR1314_1066:447
PR1314_1067,Tx430/P898012,PR1314_1067:448
PR1314_1068,Tx430/P898012,PR1314_1068:449
PR1314_1069,Tx430/P898012,PR1314_1069:450
PR1314_1070,Tx430/P898012,PR1314_1070:451
PR1314_1071,Tx430/P898012,PR1314_1071:452
PR1314_1073,Tx430/P898012,PR1314_1073:453
PR1314_1074,Tx430/P898012,PR1314_1074:454
PR1314_1075,Tx430/P898012,PR1314_1075:2865
PR1314_1076,Tx430/P898012,PR1314_1076:MERGE
PR1314_1077,Tx430/P898012,PR1314_1077:457
PR1314_1078,Tx430/P898012,PR1314_1078:458
PR1314_1079,Tx430/P898012,PR1314_1079:459
PR1314_1080,Tx430/P898012,PR1314_1080:460
PR1314_1081,Tx430/P898012,PR1314_1081:461
PR1314_1082,Tx430/P898012,PR1314_1082:462
PR1314_1083,Tx430/P898012,PR1314_1083:463
PR1314_1084,Tx430/P898012,PR1314_1084:MERGE
PR1314_1085,Tx430/P898012,PR1314_1085:465
PR1314_1086,Tx430/P898012,PR1314_1086:466
PR1314_1087,Tx430/P898012,PR1314_1087:467
PR1314_1088,Tx430/P898012,PR1314_1088:468
PR1314_1089,Tx430/P898012,PR1314_1089:MERGE
PR1314_1090,Tx430/P898012,PR1314_1090:2868
PR1314_1091,Tx430/P898012,PR1314_1091:471
PR1314_1092,Tx430/P898012,PR1314_1092:472
PR1314_1093,Tx430/P898012,PR1314_1093:MERGE
PR1314_1094,Tx430/P898012,PR1314_1094:MERGE
PR1314_1095,Tx430/P898012,PR1314_1095:475
PR1314_1096,Tx430/P898012,PR1314_1096:476
PR1314_1097,Tx430/P898012,PR1314_1097:477
PR1314_1098,Tx430/P898012,PR1314_1098:MERGE
PR1314_1099,Tx430/P898012,PR1314_1099:MERGE
PR1314_1100,Tx430/P898012,PR1314_1100:480
PR1314_1101,Tx430/P898012,PR1314_1101:481
PR1314_1102,Tx430/P898012,PR1314_1102:482
PR1314_1103,Tx430/P898012,PR1314_1103:483
PR1314_1104,Tx430/P898012,PR1314_1104:484
PR1314_1105,Tx430/P898012,PR1314_1105:485
PR1314_1106,Tx430/P898012,PR1314_1106:486
PR1314_1107,Tx430/P898012,PR1314_1107:487
PR1314_1108,Tx430/P898012,PR1314_1108:488
PR1314_1109,Tx430/P898012,PR1314_1109:MERGE
PR1314_1110,Tx430/P898012,PR1314_1110:490
PR1314_1111,Tx430/P898012,PR1314_1111:491
PR1314_1112,Tx430/P898012,PR1314_1112:MERGE
PR1314_1113,Tx430/P898012,PR1314_1113:493
PR1314_1114,Tx430/P898012,PR1314_1114:494
PR1314_1115,Tx430/P898012,PR1314_1115:495
PR1314_1116,Tx430/P898012,PR1314_1116:MERGE
PR1314_1117,Tx430/P898012,PR1314_1117:497
PR1314_1118,Tx430/P898012,PR1314_1118:498
PR1314_1119,Tx430/P898012,PR1314_1119:499
PR1314_1120,Tx430/P898012,PR1314_1120:500
PR1314_1121,Tx430/P898012,PR1314_1121:501
PR1314_1122,Tx430/P898012,PR1314_1122:MERGE
PR1314_1123,Tx430/P898012,PR1314_1123:503
PR1314_1124,Tx430/P898012,PR1314_1124:504
PR1314_1125,Tx430/P898012,PR1314_1125:505
PR1314_1126,Tx430/P898012,PR1314_1126:506
PR1314_1127,Tx430/P898012,PR1314_1127:507
PR1314_1128,Tx430/P898012,PR1314_1128:508
PR1314_1129,Tx430/P898012,PR1314_1129:MERGE
PR1314_1130,Tx430/P898012,PR1314_1130:510
PR1314_1131,Tx430/P898012,PR1314_1131:511
PR1314_1132,Tx430/P898012,PR1314_1132:512
PR1314_1133,Tx430/P898012,PR1314_1133:MERGE
PR1314_1134,Tx430/P898012,PR1314_1134:514
PR1314_1135,Tx430/P898012,PR1314_1135:515
PR1314_1136,Tx430/P898012,PR1314_1136:516
PR1314_1137,Tx430/P898012,PR1314_1137:MERGE
PR1314_1138,Tx430/P898012,PR1314_1138:518
PR1314_1139,Tx430/P898012,PR1314_1139:519
PR1314_1140,Tx430/P898012,PR1314_1140:520
PR1314_1141,Tx430/P898012,PR1314_1141:MERGE
PR1314_1142,Tx430/P898012,PR1314_1142:522
PR1314_1143,Tx430/P898012,PR1314_1143:523
PR1314_1144,Tx430/P898012,PR1314_1144:MERGE
PR1314_1145,Tx430/P898012,PR1314_1145:525
PR1314_1146,Tx430/P898012,PR1314_1146:526
PR1314_1147,Tx430/P898012,PR1314_1147:527
PR1314_1148,Tx430/P898012,PR1314_1148:528
PR1314_1149,Tx430/P898012,PR1314_1149:529
PR1314_1150,Tx430/P898012,PR1314_1150:530
PR1314_1151,Tx430/P898012,PR1314_1151:531
PR1314_1152,Tx430/P898012,PR1314_1152:532
PR1314_1153,Tx430/P898012,PR1314_1153:533
PR1314_1154,Tx430/P898012,PR1314_1154:534
PR1314_1155,Tx430/P898012,PR1314_1155:535
PR1314_1156,Tx430/P898012,PR1314_1156:536
PR1314_1157,Tx430/P898012,PR1314_1157:537
PR1314_1158,Tx430/P898012,PR1314_1158:538
PR1314_1159,Tx430/P898012,PR1314_1159:539
PR1314_1160,Tx430/P898012,PR1314_1160:540
PR1314_1161,Tx430/P898012,PR1314_1161:541
PR1314_1162,Tx430/P898012,PR1314_1162:MERGE
PR1314_1164,Tx430/P898012,PR1314_1164:543
PR1314_1165,Tx430/P898012,PR1314_1165:544
PR1314_1166,Tx430/P898012,PR1314_1166:MERGE
PR1314_1167,Tx430/P898012,PR1314_1167:546
PR1314_1168,Tx430/P898012,PR1314_1168:547
PR1314_1169,Tx430/P898012,PR1314_1169:548
PR1314_1170,Tx430/P898012,PR1314_1170:549
PR1314_1171,Tx430/P898012,PR1314_1171:550
PR1314_1172,Tx430/P898012,PR1314_1172:551
PR1314_1173,Tx430/P898012,PR1314_1173:552
PR1314_1174,Tx430/P898012,PR1314_1174:553
PR1314_1175,Tx430/P898012,PR1314_1175:554
PR1314_1176,Tx430/P898012,PR1314_1176:555
PR1314_1177,Tx430/P898012,PR1314_1177:556
PR1314_1178,Tx430/P898012,PR1314_1178:557
PR1314_1179,Tx430/P898012,PR1314_1179:558
PR1314_1180,Tx430/P898012,PR1314_1180:559
PR1314_1181,Tx430/P898012,PR1314_1181:MERGE
PR1314_1182,Tx430/P898012,PR1314_1182:561
PR1314_1183,Tx430/P898012,PR1314_1183:562
PR1314_1184,Tx430/P898012,PR1314_1184:563
PR1314_1185,Tx430/P898012,PR1314_1185:MERGE
PR1314_1186,Tx430/P898012,PR1314_1186:MERGE
PR1314_1187,Tx430/P898012,PR1314_1187:566
PR1314_1188,Tx430/P898012,PR1314_1188:567
PR1314_1189,Tx430/P898012,PR1314_1189:MERGE
PR1314_1190,Tx430/P898012,PR1314_1190:MERGE
PR1314_1191,Tx430/P898012,PR1314_1191:570
PR1314_1192,Tx430/P898012,PR1314_1192:571
PR1314_1193,Tx430/P898012,PR1314_1193:572
PR1314_1194,Tx430/P898012,PR1314_1194:573
PR1314_1195,Tx430/P898012,PR1314_1195:574
PR1314_1196,Tx430/P898012,PR1314_1196:575
PR1314_1197,Tx430/P898012,PR1314_1197:577
PR1314_1199,Tx430/P898012,PR1314_1199:578
PR1314_1200,Tx430/P898012,PR1314_1200:MERGE
PR1314_1201,Tx430/P898012,PR1314_1201:MERGE
PR1314_1202,Tx430/P898012,PR1314_1202:581
PR1314_1203,Tx430/P898012,PR1314_1203:582
PR1314_1204,Tx430/P898012,PR1314_1204:583
PR1314_1205,Tx430/P898012,PR1314_1205:584
PR1314_1206,Tx430/P898012,PR1314_1206:585
PR1314_1207,Tx430/P898012,PR1314_1207:MERGE
PR1314_1208,Tx430/P898012,PR1314_1208:MERGE
PR1314_1209,Tx430/P898012,PR1314_1209:MERGE
PR1314_1210,Tx430/P898012,PR1314_1210:589
PR1314_1211,Tx430/P898012,PR1314_1211:590
PR1314_1213,Tx430/P898012,PR1314_1213:591
PR1314_1214,Tx430/P898012,PR1314_1214:MERGE
PR1314_1215,Tx430/P898012,PR1314_1215:593
PR1314_1216,Tx430/P898012,PR1314_1216:594
PR1314_1217,Tx430/P898012,PR1314_1217:595
PR1314_1218,Tx430/P898012,PR1314_1218:MERGE
PR1314_1219,Tx430/P898012,PR1314_1219:597
PR1314_1220,Tx430/P898012,PR1314_1220:598
PR1314_1221,Tx430/P898012,PR1314_1221:MERGE
PR1314_1222,Tx430/P898012,PR1314_1222:MERGE
PR1314_1223,Tx430/P898012,PR1314_1223:MERGE
PR1314_1224,Tx430/P898012,PR1314_1224:MERGE
PR1314_1225,Tx430/P898012,PR1314_1225:MERGE
PR1314_1226,Tx430/P898012,PR1314_1226:MERGE
PR1314_1227,Tx430/P898012,PR1314_1227:MERGE
PR1314_1228,Tx430/P898012,PR1314_1228:MERGE
PR1314_1229,Tx430/P898012,PR1314_1229:607
PR1314_1230,Tx430/P898012,PR1314_1230:608
PR1314_1231,Tx430/P898012,PR1314_1231:MERGE
PR1314_1232,Tx430/P898012,PR1314_1232:MERGE
PR1314_1233,Tx430/P898012,PR1314_1233:611
PR1314_1234,Tx430/P898012,PR1314_1234:612
PR1314_1235,Tx430/P898012,PR1314_1235:MERGE
PR1314_1236,Tx430/P898012,PR1314_1236:MERGE
PR1314_1237,Tx430/P898012,PR1314_1237:MERGE
PR1314_1238,Tx430/P898012,PR1314_1238:616
PR1314_1239,Tx430/P898012,PR1314_1239:MERGE
PR1314_1240,Tx430/P898012,PR1314_1240:618
PR1314_1242,Tx430/P898012,PR1314_1242:MERGE
PR1314_1243,Tx430/P898012,PR1314_1243:MERGE
PR1314_1244,Tx430/P898012,PR1314_1244:621
PR1314_1245,Tx430/P898012,PR1314_1245:MERGE
PR1314_1246,Tx430/P898012,PR1314_1246:MERGE
PR1314_1247,Tx430/P898012,PR1314_1247:MERGE
PR1314_1248,Tx430/P898012,PR1314_1248:MERGE
PR1314_1249,Tx430/P898012,PR1314_1249:MERGE
PR1314_1250,Tx430/P898012,PR1314_1250:627
PR1314_1251,Tx430/SC971,PR1314_1251:628
PR1314_1252,Tx430/SC971,PR1314_1252:629
PR1314_1253,Tx430/SC971,PR1314_1253:630
PR1314_1254,Tx430/SC971,PR1314_1254:631
PR1314_1256,Tx430/SC971,PR1314_1256:632
PR1314_1257,Tx430/SC971,PR1314_1257:633
PR1314_1258,Tx430/SC971,PR1314_1258:634
PR1314_1259,Tx430/SC971,PR1314_1259:MERGE
PR1314_1260,Tx430/SC971,PR1314_1260:636
PR1314_1261,Tx430/SC971,PR1314_1261:637
PR1314_1262,Tx430/SC971,PR1314_1262:638
PR1314_1263,Tx430/SC971,PR1314_1263:639
PR1314_1264,Tx430/SC971,PR1314_1264:640
PR1314_1265,Tx430/SC971,PR1314_1265:641
PR1314_1266,Tx430/SC971,PR1314_1266:642
PR1314_1267,Tx430/SC971,PR1314_1267:643
PR1314_1268,Tx430/SC971,PR1314_1268:644
PR1314_1269,Tx430/SC971,PR1314_1269:645
PR1314_1270,Tx430/SC971,PR1314_1270:646
PR1314_1271,Tx430/SC971,PR1314_1271:647
PR1314_1272,Tx430/SC971,PR1314_1272:648
PR1314_1273,Tx430/SC971,PR1314_1273:649
PR1314_1274,Tx430/SC971,PR1314_1274:650
PR1314_1275,Tx430/SC971,PR1314_1275:651
PR1314_1276,Tx430/SC971,PR1314_1276:652
PR1314_1277,Tx430/SC971,PR1314_1277:653
PR1314_1278,Tx430/SC971,PR1314_1278:654
PR1314_1279,Tx430/SC971,PR1314_1279:655
PR1314_1280,Tx430/SC971,PR1314_1280:656
PR1314_1281,Tx430/SC971,PR1314_1281:657
PR1314_1282,Tx430/SC971,PR1314_1282:MERGE
PR1314_1283,Tx430/SC971,PR1314_1283:659
PR1314_1284,Tx430/SC971,PR1314_1284:660
PR1314_1285,Tx430/SC971,PR1314_1285:661
