Plot_ID	Pedigree	LIB	Family
PR1314_1001	Tx430/P898012	PR1314_1001:MERGE	P898012_RIL
PR1314_1002	Tx430/P898012	PR1314_1002:2858	P898012_RIL
PR1314_1003	Tx430/P898012	PR1314_1003:MERGE	P898012_RIL
PR1314_1004	Tx430/P898012	PR1314_1004:388	P898012_RIL
PR1314_1005	Tx430/P898012	PR1314_1005:389	P898012_RIL
PR1314_1006	Tx430/P898012	PR1314_1006:MERGE	P898012_RIL
PR1314_1007	Tx430/P898012	PR1314_1007:MERGE	P898012_RIL
PR1314_1008	Tx430/P898012	PR1314_1008:392	P898012_RIL
PR1314_1009	Tx430/P898012	PR1314_1009:393	P898012_RIL
PR1314_1010	Tx430/P898012	PR1314_1010:394	P898012_RIL
PR1314_1011	Tx430/P898012	PR1314_1011:395	P898012_RIL
PR1314_1013	Tx430/P898012	PR1314_1013:MERGE	P898012_RIL
PR1314_1014	Tx430/P898012	PR1314_1014:MERGE	P898012_RIL
PR1314_1015	Tx430/P898012	PR1314_1015:MERGE	P898012_RIL
PR1314_1016	Tx430/P898012	PR1314_1016:MERGE	P898012_RIL
PR1314_1017	Tx430/P898012	PR1314_1017:400	P898012_RIL
PR1314_1018	Tx430/P898012	PR1314_1018:401	P898012_RIL
PR1314_1019	Tx430/P898012	PR1314_1019:MERGE	P898012_RIL
PR1314_1020	Tx430/P898012	PR1314_1020:403	P898012_RIL
PR1314_1021	Tx430/P898012	PR1314_1021:404	P898012_RIL
PR1314_1022	Tx430/P898012	PR1314_1022:405	P898012_RIL
PR1314_1023	Tx430/P898012	PR1314_1023:406	P898012_RIL
PR1314_1024	Tx430/P898012	PR1314_1024:407	P898012_RIL
PR1314_1025	Tx430/P898012	PR1314_1025:408	P898012_RIL
PR1314_1026	Tx430/P898012	PR1314_1026:409	P898012_RIL
PR1314_1027	Tx430/P898012	PR1314_1027:MERGE	P898012_RIL
PR1314_1028	Tx430/P898012	PR1314_1028:411	P898012_RIL
PR1314_1029	Tx430/P898012	PR1314_1029:412	P898012_RIL
PR1314_1030	Tx430/P898012	PR1314_1030:MERGE	P898012_RIL
PR1314_1031	Tx430/P898012	PR1314_1031:MERGE	P898012_RIL
PR1314_1033	Tx430/P898012	PR1314_1033:415	P898012_RIL
PR1314_1034	Tx430/P898012	PR1314_1034:416	P898012_RIL
PR1314_1036	Tx430/P898012	PR1314_1036:418	P898012_RIL
PR1314_1037	Tx430/P898012	PR1314_1037:MERGE	P898012_RIL
PR1314_1038	Tx430/P898012	PR1314_1038:420	P898012_RIL
PR1314_1039	Tx430/P898012	PR1314_1039:421	P898012_RIL
PR1314_1040	Tx430/P898012	PR1314_1040:422	P898012_RIL
PR1314_1041	Tx430/P898012	PR1314_1041:423	P898012_RIL
PR1314_1042	Tx430/P898012	PR1314_1042:424	P898012_RIL
PR1314_1043	Tx430/P898012	PR1314_1043:425	P898012_RIL
PR1314_1044	Tx430/P898012	PR1314_1044:426	P898012_RIL
PR1314_1045	Tx430/P898012	PR1314_1045:2863	P898012_RIL
PR1314_1046	Tx430/P898012	PR1314_1046:428	P898012_RIL
PR1314_1047	Tx430/P898012	PR1314_1047:429	P898012_RIL
PR1314_1048	Tx430/P898012	PR1314_1048:430	P898012_RIL
PR1314_1050	Tx430/P898012	PR1314_1050:432	P898012_RIL
PR1314_1051	Tx430/P898012	PR1314_1051:433	P898012_RIL
PR1314_1054	Tx430/P898012	PR1314_1054:436	P898012_RIL
PR1314_1055	Tx430/P898012	PR1314_1055:MERGE	P898012_RIL
PR1314_1057	Tx430/P898012	PR1314_1057:438	P898012_RIL
PR1314_1058	Tx430/P898012	PR1314_1058:439	P898012_RIL
PR1314_1059	Tx430/P898012	PR1314_1059:440	P898012_RIL
PR1314_1060	Tx430/P898012	PR1314_1060:2864	P898012_RIL
PR1314_1061	Tx430/P898012	PR1314_1061:MERGE	P898012_RIL
PR1314_1062	Tx430/P898012	PR1314_1062:MERGE	P898012_RIL
PR1314_1063	Tx430/P898012	PR1314_1063:444	P898012_RIL
PR1314_1064	Tx430/P898012	PR1314_1064:445	P898012_RIL
PR1314_1065	Tx430/P898012	PR1314_1065:MERGE	P898012_RIL
PR1314_1066	Tx430/P898012	PR1314_1066:447	P898012_RIL
PR1314_1067	Tx430/P898012	PR1314_1067:448	P898012_RIL
PR1314_1068	Tx430/P898012	PR1314_1068:449	P898012_RIL
PR1314_1069	Tx430/P898012	PR1314_1069:450	P898012_RIL
PR1314_1070	Tx430/P898012	PR1314_1070:451	P898012_RIL
PR1314_1071	Tx430/P898012	PR1314_1071:452	P898012_RIL
PR1314_1073	Tx430/P898012	PR1314_1073:453	P898012_RIL
PR1314_1074	Tx430/P898012	PR1314_1074:454	P898012_RIL
PR1314_1075	Tx430/P898012	PR1314_1075:2865	P898012_RIL
PR1314_1076	Tx430/P898012	PR1314_1076:MERGE	P898012_RIL
PR1314_1077	Tx430/P898012	PR1314_1077:457	P898012_RIL
PR1314_1078	Tx430/P898012	PR1314_1078:458	P898012_RIL
