season,year,PS,isoMAS-PS,GS,isoMAS-GS,Ratio
0,0.0,19483,19483,21563,21563,1.106727848
1,0.5,21123,21123,22723,22723,1.075717694
2,1.0,22635,39522,32530,36530,1.437133314
3,1.5,24147,41034,33818,37818,1.400485356
4,2.0,25211,42098,44345,48345,1.758940471
5,2.5,27491,44378,45633,49633,1.65991299
6,3.0,36755,53642,56160,60160,1.527952507
7,3.5,39035,55922,57448,61448,1.471702463
8,4.0,40518,57405,67975,71975,1.67764275
9,4.5,42158,59045,69263,73263,1.642932369
10,5.0,43670,60557,79791,83791,1.827109438
11,5.5,45182,62069,81079,85079,1.794473069
12,6.0,46246,63133,91606,95606,1.980820129
13,6.5,48526,65413,92894,96894,1.914294075
14,7.0,57790,74677,103421,107421,1.78958789
15,7.5,60070,76957,104709,108709,1.743104757
16,8.0,61554,78440,115236,119236,1.872127707
17,8.5,63194,80080,116524,120524,1.843924068
18,9.0,64706,81592,127051,131051,1.963530204
19,9.5,66218,83104,128339,132339,1.938146354
20,10.0,67282,84168,138867,142867,2.063961024
21,10.5,69562,86448,140155,144155,2.014827146
22,11.0,78826,95712,150682,154682,1.911584561
23,11.5,81106,97992,151970,155970,1.873727585
24,12.0,82589,99475,162497,166497,1.967542815
25,12.5,84229,101115,163785,167785,1.944524913
26,13.0,85741,102627,174312,178312,2.033013455
27,13.5,87253,104139,175600,179600,2.012545156
28,14.0,88317,105203,186127,190127,2.107497101
29,14.5,90597,107483,187415,191415,2.068675715
30,15.0,99861,116747,197943,201943,1.982185202
31,15.5,102141,119027,199231,203231,1.950548654
32,16.0,103624,120510,209758,213758,2.024220258
33,16.5,105264,122150,211046,215046,2.004919061
34,17.0,106776,123662,221573,225573,2.075119877
35,17.5,108288,125174,222861,226861,2.058039672
36,18.0,109352,126238,233388,237388,2.134283781
37,18.5,111632,128518,234676,238676,2.102230543
38,19.0,120896,137782,245203,249203,2.028217642
39,19.5,123176,140062,246491,250491,2.001131714
40,20.0,124659,141546,257019,261019,2.06177001
