season,year,PS,isoMAS-PS,GS,isoMAS-GS,Ratio
0,0.0,19483,19483,19963,19963,1.024605814
1,0.5,21123,21123,21123,21123,0.9999715952
2,1.0,22635,26722,24530,25330,1.083701491
3,1.5,24147,28234,25818,26618,1.069184005
4,2.0,25211,29298,29945,30745,1.187765755
5,2.5,27491,31578,31233,32033,1.136109009
6,3.0,36755,40842,35360,36160,0.9620461867
7,3.5,39035,43122,36648,37448,0.9388500635
8,4.0,40518,44605,40775,41575,1.006342797
9,4.5,42158,46245,42063,42863,0.9977465938
10,5.0,43670,47757,46191,46991,1.05770957
11,5.5,45182,49269,47479,48279,1.050820674
12,6.0,46246,50333,51606,52406,1.115887939
13,6.5,48526,52613,52894,53694,1.090000495
14,7.0,57790,61877,57021,57821,0.9866863701
15,7.5,60070,64157,58309,59109,0.9706777381
16,8.0,61554,65640,62436,63236,1.014338723
17,8.5,63194,67280,63724,64524,1.00839642
18,9.0,64706,68792,67851,68651,1.048617121
19,9.5,66218,70304,69139,69939,1.044124221
20,10.0,67282,71368,73267,74067,1.088954484
21,10.5,69562,73648,74555,75355,1.071778107
22,11.0,78826,82912,78682,79482,0.9981757196
23,11.5,81106,85192,79970,80770,0.9859960348
24,12.0,82589,86675,84097,84897,1.018261556
25,12.5,84229,88315,85385,86185,1.013726896
26,13.0,85741,89827,89512,90312,1.04398606
27,13.5,87253,91339,90800,91600,1.040656575
28,14.0,88317,92403,94927,95727,1.074850991
29,14.5,90597,94683,96215,97015,1.062017643
30,15.0,99861,103947,100343,101143,1.004824716
31,15.5,102141,106227,101631,102431,0.9950049344
32,16.0,103624,107710,105758,106558,1.020591755
33,16.5,105264,109350,107046,107846,1.016926965
34,17.0,106776,110862,111173,111973,1.041179666
35,17.5,108288,112374,112461,113261,1.038536126
36,18.0,109352,113438,116588,117388,1.066173458
37,18.5,111632,115718,117876,118676,1.055935574
38,19.0,120896,124982,122003,122803,1.009159939
39,19.5,123176,127262,123291,124091,1.000936871
40,20.0,124659,128746,127419,128219,1.02213555
