season,year,PS,isoMAS-PS,GS,isoMAS-GS,Ratio
0,0.0,5046,5046,7111,7111,1.409235038
1,0.5,6390,6390,7897,7897,1.235837246
2,1.0,7585,24179,17136,21136,2.25919422
3,1.5,8780,25374,18071,22071,2.058134026
4,2.0,9455,26048,27474,31474,2.905787536
5,2.5,11543,28136,28408,32408,2.461139412
6,3.0,14047,30640,37811,41811,2.691776063
7,3.5,16135,32728,38746,42746,2.40137095
8,4.0,17107,33700,48148,52148,2.814555615
9,4.5,18451,35044,49083,53083,2.660201184
10,5.0,19646,36240,58485,62485,2.976954087
11,5.5,20841,37435,59420,63420,2.85108535
12,6.0,21516,38109,68822,72822,3.198722787
13,6.5,23604,40197,69757,73757,2.955364436
14,7.0,26108,42701,79160,83160,3.032053502
15,7.5,28196,44789,80094,84094,2.840671594
16,8.0,29168,45761,89497,93497,3.068364898
17,8.5,30512,47105,90432,94432,2.963844571
18,9.0,31707,48300,99834,103834,3.148663378
19,9.5,32902,49496,100769,104769,3.062696493
20,10.0,33576,50170,110171,114171,3.281210612
21,10.5,35664,52258,111106,115106,3.1153206
22,11.0,38168,54762,120508,124508,3.157282988
23,11.5,40256,56850,121443,125443,3.016743673
24,12.0,41228,57822,130846,134846,3.173677368
25,12.5,42572,59166,131780,135780,3.095443057
26,13.0,43768,60361,141183,145183,3.225738674
27,13.5,44963,61556,142118,146118,3.160782691
28,14.0,45637,62231,151520,155520,3.320099393
29,14.5,47725,64319,152455,156455,3.194430615
30,15.0,50229,66823,161857,165857,3.22237344
31,15.5,52317,68911,162792,166792,3.111635179
32,16.0,53289,69883,172194,176194,3.231319667
33,16.5,54633,71227,173129,177129,3.168938301
34,17.0,55828,72422,182532,186532,3.269512291
35,17.5,57024,73617,183466,187466,3.217377367
36,18.0,57698,74292,192869,196869,3.342730077
37,18.5,59786,76380,193804,197804,3.241622453
38,19.0,62290,78884,203206,207206,3.262257826
39,19.5,64378,80972,204141,208141,3.170972071
40,20.0,65350,81944,213543,217543,3.267685386
