season,year,PS,isoMAS-PS,GS,isoMAS-GS,Ratio
0,0.0,5046,5046,5511,5511,1.0921522
1,0.5,6390,6390,6297,6297,0.9854460094
2,1.0,7585,11379,9136,9936,1.20450878
3,1.5,8780,12574,10071,10871,1.147013803
4,2.0,9455,13248,13074,13874,1.382751618
5,2.5,11543,15336,14008,14808,1.213608483
6,3.0,14047,17840,17011,17811,1.211011761
7,3.5,16135,19928,17946,18746,1.112231946
8,4.0,17107,20900,20948,21748,1.224544626
9,4.5,18451,22244,21883,22683,1.186010363
10,5.0,19646,23440,24885,25685,1.266682276
11,5.5,20841,24635,25820,26620,1.238894114
12,6.0,21516,25309,28822,29622,1.339606611
13,6.5,23604,27397,29757,30557,1.260707689
14,7.0,26108,29901,32760,33560,1.25479324
15,7.5,28196,31989,33694,34494,1.195024756
16,8.0,29168,32961,36697,37497,1.258137111
17,8.5,30512,34305,37632,38432,1.233355183
18,9.0,31707,35500,40634,41434,1.281556007
19,9.5,32902,36696,41569,42369,1.263413774
20,10.0,33576,37370,44571,45371,1.327457381
21,10.5,35664,39458,45506,46306,1.275951369
22,11.0,38168,41962,48508,49308,1.270905775
23,11.5,40256,44050,49443,50243,1.228208186
24,12.0,41228,45022,52446,53246,1.27207556
25,12.5,42572,46366,53380,54180,1.253874341
26,13.0,43768,47561,56383,57183,1.288232391
27,13.5,44963,48756,57318,58118,1.274779151
28,14.0,45637,49431,60320,61120,1.321729642
29,14.5,47725,51519,61255,62055,1.283490483
30,15.0,50229,54023,64257,65057,1.279280578
31,15.5,52317,56111,65192,65992,1.246091916
32,16.0,53289,57083,68194,68994,1.279704706
33,16.5,54633,58427,69129,69929,1.2653339
34,17.0,55828,59622,72132,72932,1.292024131
35,17.5,57024,60817,73066,73866,1.28133685
36,18.0,57698,61492,76069,76869,1.318396478
37,18.5,59786,63580,77004,77804,1.287987823
38,19.0,62290,66084,80006,80806,1.284412265
39,19.5,64378,68172,80941,81741,1.257274845
40,20.0,65350,69144,83943,84743,1.284517827
