season,year,PS,isoMAS-PS,GS,isoMAS-GS
0,0.0,20000,20000,24000,24000
1,0.5,40000,40000,34000,34000
2,1.0,60000,75000,60000,68000
3,1.5,70000,85000,70000,78000
4,2.0,90000,105000,96000,104000
5,2.5,110000,125000,106000,114000
6,3.0,130000,145000,132000,140000
7,3.5,150000,165000,142000,150000
8,4.0,170000,185000,168000,176000
9,4.5,180000,195000,178000,186000
10,5.0,200000,215000,204000,212000
11,5.5,220000,235000,214000,222000
12,6.0,240000,255000,240000,248000
13,6.5,260000,275000,250000,258000
14,7.0,280000,295000,276000,284000
15,7.5,290000,305000,286000,294000
16,8.0,310000,325000,312000,320000
17,8.5,330000,345000,322000,330000
18,9.0,350000,365000,348000,356000
19,9.5,370000,385000,358000,366000
20,10.0,390000,405000,384000,392000
21,10.5,400000,415000,394000,402000
22,11.0,420000,435000,420000,428000
23,11.5,440000,455000,430000,438000
24,12.0,460000,475000,456000,464000
25,12.5,480000,495000,466000,474000
26,13.0,500000,515000,492000,500000
27,13.5,510000,525000,502000,510000
28,14.0,530000,545000,528000,536000
29,14.5,550000,565000,538000,546000
30,15.0,570000,585000,564000,572000
31,15.5,590000,605000,574000,582000
32,16.0,610000,625000,600000,608000
33,16.5,620000,635000,610000,618000
34,17.0,640000,655000,636000,644000
35,17.5,660000,675000,646000,654000
36,18.0,680000,695000,672000,680000
