season,year,PS,isoMAS-PS,GS,isoMAS-GS
0,0.0,20000,20000,20800,20800
1,0.5,40000,40000,30800,30800
2,1.0,60000,63000,44000,45600
3,1.5,70000,73000,54000,55600
4,2.0,90000,93000,67200,68800
5,2.5,110000,113000,77200,78800
6,3.0,130000,133000,90400,92000
7,3.5,150000,153000,100400,102000
8,4.0,170000,173000,113600,115200
9,4.5,180000,183000,123600,125200
10,5.0,200000,203000,136800,138400
11,5.5,220000,223000,146800,148400
12,6.0,240000,243000,160000,161600
13,6.5,260000,263000,170000,171600
14,7.0,280000,283000,183200,184800
15,7.5,290000,293000,193200,194800
16,8.0,310000,313000,206400,208000
17,8.5,330000,333000,216400,218000
18,9.0,350000,353000,229600,231200
19,9.5,370000,373000,239600,241200
20,10.0,390000,393000,252800,254400
21,10.5,400000,403000,262800,264400
22,11.0,420000,423000,276000,277600
23,11.5,440000,443000,286000,287600
24,12.0,460000,463000,299200,300800
25,12.5,480000,483000,309200,310800
26,13.0,500000,503000,322400,324000
27,13.5,510000,513000,332400,334000
28,14.0,530000,533000,345600,347200
29,14.5,550000,553000,355600,357200
30,15.0,570000,573000,368800,370400
31,15.5,590000,593000,378800,380400
32,16.0,610000,613000,392000,393600
33,16.5,620000,623000,402000,403600
34,17.0,640000,643000,415200,416800
35,17.5,660000,663000,425200,426800
36,18.0,680000,683000,438400,440000
