season,year,PS,isoMAS-PS,GS,isoMAS-GS
0,0.0,2000,2000,6000,6000
1,0.5,4000,4000,7000,7000
2,1.0,6000,21000,24000,32000
3,1.5,7000,22000,25000,33000
4,2.0,9000,24000,42000,50000
5,2.5,11000,26000,43000,51000
6,3.0,13000,28000,60000,68000
7,3.5,15000,30000,61000,69000
8,4.0,17000,32000,78000,86000
9,4.5,18000,33000,79000,87000
10,5.0,20000,35000,96000,104000
11,5.5,22000,37000,97000,105000
12,6.0,24000,39000,114000,122000
13,6.5,26000,41000,115000,123000
14,7.0,28000,43000,132000,140000
15,7.5,29000,44000,133000,141000
16,8.0,31000,46000,150000,158000
17,8.5,33000,48000,151000,159000
18,9.0,35000,50000,168000,176000
19,9.5,37000,52000,169000,177000
20,10.0,39000,54000,186000,194000
21,10.5,40000,55000,187000,195000
22,11.0,42000,57000,204000,212000
23,11.5,44000,59000,205000,213000
24,12.0,46000,61000,222000,230000
25,12.5,48000,63000,223000,231000
26,13.0,50000,65000,240000,248000
27,13.5,51000,66000,241000,249000
28,14.0,53000,68000,258000,266000
29,14.5,55000,70000,259000,267000
30,15.0,57000,72000,276000,284000
31,15.5,59000,74000,277000,285000
32,16.0,61000,76000,294000,302000
33,16.5,62000,77000,295000,303000
34,17.0,64000,79000,312000,320000
35,17.5,66000,81000,313000,321000
36,18.0,68000,83000,330000,338000
