season,year,PS,isoMAS-PS,GS,isoMAS-GS
0,0.0,2000,2000,2800,2800
1,0.5,4000,4000,3800,3800
2,1.0,6000,9000,8000,9600
3,1.5,7000,10000,9000,10600
4,2.0,9000,12000,13200,14800
5,2.5,11000,14000,14200,15800
6,3.0,13000,16000,18400,20000
7,3.5,15000,18000,19400,21000
8,4.0,17000,20000,23600,25200
9,4.5,18000,21000,24600,26200
10,5.0,20000,23000,28800,30400
11,5.5,22000,25000,29800,31400
12,6.0,24000,27000,34000,35600
13,6.5,26000,29000,35000,36600
14,7.0,28000,31000,39200,40800
15,7.5,29000,32000,40200,41800
16,8.0,31000,34000,44400,46000
17,8.5,33000,36000,45400,47000
18,9.0,35000,38000,49600,51200
19,9.5,37000,40000,50600,52200
20,10.0,39000,42000,54800,56400
21,10.5,40000,43000,55800,57400
22,11.0,42000,45000,60000,61600
23,11.5,44000,47000,61000,62600
24,12.0,46000,49000,65200,66800
25,12.5,48000,51000,66200,67800
26,13.0,50000,53000,70400,72000
27,13.5,51000,54000,71400,73000
28,14.0,53000,56000,75600,77200
29,14.5,55000,58000,76600,78200
30,15.0,57000,60000,80800,82400
31,15.5,59000,62000,81800,83400
32,16.0,61000,64000,86000,87600
33,16.5,62000,65000,87000,88600
34,17.0,64000,67000,91200,92800
35,17.5,66000,69000,92200,93800
36,18.0,68000,71000,96400,98000
